Date,2005,2006,2007,2008,2009,2010,2011,2012
02-Mar,2.71E-05,0.00131713,NaN,0.011426201,0.004936323,0.000989473,0.01151279,0.003771027
03-Mar,0.001047262,0.004303357,NaN,0.018547454,0.005357522,0.000745285,0.008092949,0.011603688
04-Mar,0.000849706,0.007418326,NaN,0.016348971,0.005393083,0.001584257,0.010016107,0.01535591
05-Mar,7.16E-05,0.013222769,NaN,0.020496231,0.004491852,0.00205235,0.003870122,0.012871502
06-Mar,0.000261192,0.011935682,NaN,0.013647639,0.005500189,0.00374168,0.006616725,0.011098605
07-Mar,0.004634739,0.005638767,NaN,0.013083799,0.006567139,0.004519392,0.007093749,0.009579071
08-Mar,0.005835067,0.0039586,NaN,0.010085878,0.006604924,0.000432542,0.004417763,0.005698597
09-Mar,0.003241346,0.007903101,NaN,0.007200933,0.00511057,0.001416706,0.001837724,0.007696207
10-Mar,0.002911977,0.008184242,NaN,0.008361575,0.004224645,0.00061981,0.002233649,0.005307976
11-Mar,0.002562963,0.013059716,NaN,0.009647858,0.003176275,0.000534273,0.001530398,0.004969101
12-Mar,0.001268797,0.010308374,NaN,0.008277358,0.003994899,0.001522216,0.001751371,0.006325525
13-Mar,0.001340752,0.009264474,NaN,0.013553285,0.003391128,0.004330534,0.001611671,0.004679152
14-Mar,7.25E-05,0.007145513,NaN,0.010885444,0.002906305,0.002350683,0.003019215,0.007647369
15-Mar,0.001707303,0.005325797,NaN,0.007859258,0.002586272,0.002046256,0.005136798,0.012059307
16-Mar,0.001816614,0.005575742,NaN,0.012156496,0.003484483,0.000293748,0.006256193,0.009631965
17-Mar,0.000965415,0.005325797,NaN,0.019875981,0.003329314,5.23E-05,0.004592888,0.012289443
18-Mar,0.000551959,0.005765458,NaN,0.020185555,0.00326784,2.32E-05,0.004504938,0.011378222
19-Mar,0.002538435,0.007010271,NaN,0.014887797,0.003737088,0.000942545,0.003394071,0.010112634
20-Mar,0.004196881,0.004537968,NaN,0.007282491,0.006947885,0.001302593,0.001723008,0.010112634
21-Mar,0.006654771,0.004896845,NaN,0.008530598,0.006341792,0.003598281,0.002528213,0.006462866
22-Mar,0.005413956,0.008539812,NaN,0.008615402,0.007570201,0.00155033,0.003129572,0.010274695
23-Mar,0.005123614,0.005387958,NaN,0.008193338,0.006718668,0.000593779,0.002561966,0.007598641
24-Mar,0.001218394,0.01084278,NaN,0.008361575,0.002876753,0.003108997,0.004160905,0.00565471
25-Mar,0.000159492,0.010081858,NaN,0.006957541,0.00326784,0.003669785,0.000926577,0.003809052
26-Mar,0.002016588,0.011385267,NaN,0.011155065,0.002965677,0.003074821,0.000637814,0.004395443
27-Mar,0.003315638,0.007281534,NaN,0.008277358,0.001557815,0.003633984,0.004726264,0.007501519
