Date,2005,2006,2007,2008,2009,2010,2011,2012
28-Feb,0.004558824,0.008844675,0.004501354,0.092982167,0.010514393,0.007198917,0.005334229,0.011452682
29-Feb,NaN,NaN,NaN,0.091689032,NaN,NaN,NaN,0.011490366
01-Mar,0.003258056,0.00851195,0.004764642,0.091183151,0.009541921,0.007458324,0.00484929,0.010490185
02-Mar,0.003899202,0.008185507,0.00519811,0.089740132,0.008001834,0.008365485,0.004990006,0.009808108
03-Mar,0.003292133,0.006116555,0.004579718,0.091689032,0.010205736,0.008040909,0.004170021,0.009351929
04-Mar,0.004280839,0.007200476,0.003893894,0.087606061,0.011017221,0.008094674,0.003807654,0.010417535
05-Mar,0.002584207,0.00707097,0.004193273,0.088255702,0.008784512,0.0086948,0.003507584,0.009596497
06-Mar,0.002831518,0.007640513,0.004295007,0.089635511,0.008221954,0.00942435,0.003656392,0.009491376
07-Mar,0.003936547,0.006318244,0.004193273,0.089635511,0.009188691,0.00942435,0.004627492,0.008599649
08-Mar,0.00463989,0.003915847,0.003893894,0.08650437,0.009014426,0.007354152,0.003961347,0.008232917
09-Mar,0.004203055,0.005530823,0.00432059,0.086837426,0.005627101,0.006098609,0.004039099,0.008199892
10-Mar,0.004087745,0.005722843,0.003603351,0.086837426,0.006003581,0.004492031,0.003961347,0.007077411
11-Mar,0.004126,0.006815429,0.003207159,0.087278083,0.007410998,0.003819759,0.003122909,0.006953313
12-Mar,0.003360832,0.006036781,0.00367515,0.087496972,0.007516839,0.006690398,0.003833101,0.007486699
13-Mar,0.003678952,0.004974127,0.003368086,0.088470417,0.007784522,0.007615597,0.002846196,0.009421551
14-Mar,0.002524183,0.005379529,0.003532112,0.087058238,0.009188691,0.00649088,0.003656392,0.007937583
15-Mar,0.002863244,0.004344489,0.003992712,0.070449704,0.008784512,0.006147146,0.003681433,0.00917877
16-Mar,0.003571279,0.003820042,0.003651155,0.079828194,0.008277422,0.005112795,0.003507584,0.007970187
17-Mar,0.002377273,0.00353964,0.003627222,0.085605168,0.008670602,0.004666345,0.003170017,0.007840089
18-Mar,0.002179154,0.003662964,0.002851137,0.085831502,0.009364523,0.00457888,0.004329314,0.008068316
19-Mar,0.002991954,0.004344489,0.002170313,0.084804704,0.009305739,0.004405799,0.003434105,0.007678658
20-Mar,0.002319769,0.003788367,0.003004858,0.080210724,0.008333066,0.004754422,0.002667444,0.007015254
21-Mar,0.003751642,0.003358552,0.00325282,0.082320976,0.009305739,0.006244648,0.003265075,0.006435635
22-Mar,0.004438593,0.004830585,0.003094126,0.079828194,0.01089048,0.006244648,0.003909847,0.005589535
23-Mar,0.003057394,0.00475959,0.003116604,0.082563139,0.009423482,0.005905892,0.003532214,0.005904914
24-Mar,0.001989833,0.003915847,0.003532112,0.079571398,0.007516839,0.006993853,0.00340975,0.005847064
25-Mar,0.001637515,0.004830585,0.003391329,0.078265303,0.008166661,0.006244648,0.002846196,0.005006632
26-Mar,0.001497236,0.005156463,0.003004858,0.079956057,0.005443162,0.006001964,0.003146428,0.005281039
27-Mar,0.002959505,0.004210266,0.00325282,0.082442212,0.005766939,0.00571548,0.00406515,0.006021289
28-Mar,0.003715206,0.0031532,0.003139146,0.083519687,0.005534772,0.004492031,0.004382939,0.006435635
29-Mar,0.003430255,0.003182146,0.003414636,0.086281092,0.006841501,0.004150846,0.004600059,0.006860809
30-Mar,0.003465239,0.003388408,0.003555796,0.075250368,0.006342379,0.004932401,0.005777268,0.006465648
31-Mar,0.003571279,0.00369412,0.002368851,0.083282334,0.005627101,0.006147146,0.005075203,0.006375777
01-Apr,0.003500404,0.004078116,0.003049363,0.085491611,0.005861059,0.006441352,0.004737874,0.007265183
02-Apr,0.002675596,0.005046674,0.002679389,0.084573577,0.005443162,0.006590359,0.004463869,0.00573204
03-Apr,0.002348431,0.004689112,0.002700626,0.080966432,0.008001834,0.00654055,0.004329314,0.005448451
