depth_m,distance_km,salinity_pss,source_file
0.0,0,10.523,mb_lws_da_20160401.txt
0.5,0,18.375,mb_lws_da_20160401.txt
1.0,0,22.051,mb_lws_da_20160401.txt
1.5,0,26.667,mb_lws_da_20160401.txt
2.0,0,27.409,mb_lws_da_20160401.txt
2.5,0,27.806,mb_lws_da_20160401.txt
3.0,0,28.01,mb_lws_da_20160401.txt
3.5,0,28.214,mb_lws_da_20160401.txt
4.0,0,28.214,mb_lws_da_20160401.txt
4.5,0,28.146,mb_lws_da_20160401.txt
5.0,0,28.146,mb_lws_da_20160401.txt
5.5,0,,mb_lws_da_20160401.txt
6.0,0,,mb_lws_da_20160401.txt
6.5,0,,mb_lws_da_20160401.txt
7.0,0,,mb_lws_da_20160401.txt
0.0,3,9.792,mb_lws_da_20160401.txt
0.5,3,11.701,mb_lws_da_20160401.txt
1.0,3,14.609,mb_lws_da_20160401.txt
1.5,3,20.748,mb_lws_da_20160401.txt
2.0,3,24.392,mb_lws_da_20160401.txt
2.5,3,26.6,mb_lws_da_20160401.txt
3.0,3,27.197,mb_lws_da_20160401.txt
3.5,3,27.4,mb_lws_da_20160401.txt
4.0,3,27.467,mb_lws_da_20160401.txt
4.5,3,27.467,mb_lws_da_20160401.txt
5.0,3,,mb_lws_da_20160401.txt
5.5,3,,mb_lws_da_20160401.txt
6.0,3,,mb_lws_da_20160401.txt
6.5,3,,mb_lws_da_20160401.txt
7.0,3,,mb_lws_da_20160401.txt
0.0,6,6.874,mb_lws_da_20160401.txt
0.5,6,7.205,mb_lws_da_20160401.txt
1.0,6,11.112,mb_lws_da_20160401.txt
1.5,6,12.326,mb_lws_da_20160401.txt
2.0,6,20.012,mb_lws_da_20160401.txt
2.5,6,23.661,mb_lws_da_20160401.txt
3.0,6,24.658,mb_lws_da_20160401.txt
3.5,6,27.207,mb_lws_da_20160401.txt
4.0,6,27.207,mb_lws_da_20160401.txt
4.5,6,27.207,mb_lws_da_20160401.txt
5.0,6,27.207,mb_lws_da_20160401.txt
5.5,6,27.207,mb_lws_da_20160401.txt
6.0,6,,mb_lws_da_20160401.txt
6.5,6,,mb_lws_da_20160401.txt
7.0,6,,mb_lws_da_20160401.txt
0.0,9,5.983,mb_lws_da_20160401.txt
0.5,9,6.338,mb_lws_da_20160401.txt
1.0,9,7.48,mb_lws_da_20160401.txt
1.5,9,18.876,mb_lws_da_20160401.txt
2.0,9,22.209,mb_lws_da_20160401.txt
2.5,9,22.736,mb_lws_da_20160401.txt
3.0,9,23.977,mb_lws_da_20160401.txt
3.5,9,27.061,mb_lws_da_20160401.txt
4.0,9,27.061,mb_lws_da_20160401.txt
4.5,9,27.061,mb_lws_da_20160401.txt
5.0,9,27.061,mb_lws_da_20160401.txt
5.5,9,,mb_lws_da_20160401.txt
6.0,9,,mb_lws_da_20160401.txt
6.5,9,,mb_lws_da_20160401.txt
7.0,9,,mb_lws_da_20160401.txt
0.0,12,3.948,mb_lws_da_20160401.txt
0.5,12,6.443,mb_lws_da_20160401.txt
1.0,12,8.043,mb_lws_da_20160401.txt
1.5,12,16.8,mb_lws_da_20160401.txt
2.0,12,19.004,mb_lws_da_20160401.txt
2.5,12,19.197,mb_lws_da_20160401.txt
3.0,12,20.726,mb_lws_da_20160401.txt
3.5,12,21.947,mb_lws_da_20160401.txt
4.0,12,26.319,mb_lws_da_20160401.txt
4.5,12,26.521,mb_lws_da_20160401.txt
5.0,12,26.521,mb_lws_da_20160401.txt
5.5,12,,mb_lws_da_20160401.txt
6.0,12,,mb_lws_da_20160401.txt
6.5,12,,mb_lws_da_20160401.txt
7.0,12,,mb_lws_da_20160401.txt
0.0,15,3.574,mb_lws_da_20160401.txt
0.5,15,4.07,mb_lws_da_20160401.txt
1.0,15,8.177,mb_lws_da_20160401.txt
1.5,15,16.932,mb_lws_da_20160401.txt
2.0,15,17.688,mb_lws_da_20160401.txt
2.5,15,18.491,mb_lws_da_20160401.txt
3.0,15,18.747,mb_lws_da_20160401.txt
3.5,15,18.979,mb_lws_da_20160401.txt
4.0,15,20.9,mb_lws_da_20160401.txt
4.5,15,24.844,mb_lws_da_20160401.txt
5.0,15,25.58,mb_lws_da_20160401.txt
5.5,15,25.58,mb_lws_da_20160401.txt
6.0,15,,mb_lws_da_20160401.txt
6.5,15,,mb_lws_da_20160401.txt
7.0,15,,mb_lws_da_20160401.txt
0.0,18,-0.002,mb_lws_da_20160401.txt
0.5,18,-0.002,mb_lws_da_20160401.txt
1.0,18,-0.002,mb_lws_da_20160401.txt
1.5,18,-0.002,mb_lws_da_20160401.txt
