depth_m,distance_km,salinity_pss,source_file
0.0,0,17.667,mb_hws_td_20160409.txt
0.5,0,17.79,mb_hws_td_20160409.txt
1.0,0,19.031,mb_hws_td_20160409.txt
1.5,0,20.909,mb_hws_td_20160409.txt
2.0,0,21.351,mb_hws_td_20160409.txt
2.5,0,21.54,mb_hws_td_20160409.txt
3.0,0,21.667,mb_hws_td_20160409.txt
3.5,0,21.793,mb_hws_td_20160409.txt
4.0,0,22.028,mb_hws_td_20160409.txt
4.5,0,22.028,mb_hws_td_20160409.txt
5.0,0,,mb_hws_td_20160409.txt
5.5,0,,mb_hws_td_20160409.txt
6.0,0,,mb_hws_td_20160409.txt
6.5,0,,mb_hws_td_20160409.txt
7.0,0,,mb_hws_td_20160409.txt
0.0,3,17.236,mb_hws_td_20160409.txt
0.5,3,18.137,mb_hws_td_20160409.txt
1.0,3,18.758,mb_hws_td_20160409.txt
1.5,3,19.07,mb_hws_td_20160409.txt
2.0,3,19.945,mb_hws_td_20160409.txt
2.5,3,20.134,mb_hws_td_20160409.txt
3.0,3,20.134,mb_hws_td_20160409.txt
3.5,3,20.134,mb_hws_td_20160409.txt
4.0,3,,mb_hws_td_20160409.txt
4.5,3,,mb_hws_td_20160409.txt
5.0,3,,mb_hws_td_20160409.txt
5.5,3,,mb_hws_td_20160409.txt
6.0,3,,mb_hws_td_20160409.txt
6.5,3,,mb_hws_td_20160409.txt
7.0,3,,mb_hws_td_20160409.txt
0.0,6,16.26,mb_hws_td_20160409.txt
0.5,6,16.717,mb_hws_td_20160409.txt
1.0,6,16.874,mb_hws_td_20160409.txt
1.5,6,16.971,mb_hws_td_20160409.txt
2.0,6,17.456,mb_hws_td_20160409.txt
2.5,6,18.112,mb_hws_td_20160409.txt
3.0,6,18.595,mb_hws_td_20160409.txt
3.5,6,19.093,mb_hws_td_20160409.txt
4.0,6,19.405,mb_hws_td_20160409.txt
4.5,6,19.507,mb_hws_td_20160409.txt
5.0,6,19.57,mb_hws_td_20160409.txt
5.5,6,19.672,mb_hws_td_20160409.txt
6.0,6,19.672,mb_hws_td_20160409.txt
6.5,6,,mb_hws_td_20160409.txt
7.0,6,,mb_hws_td_20160409.txt
0.0,9,15.977,mb_hws_td_20160409.txt
0.5,9,15.977,mb_hws_td_20160409.txt
1.0,9,16.099,mb_hws_td_20160409.txt
1.5,9,16.343,mb_hws_td_20160409.txt
2.0,9,16.499,mb_hws_td_20160409.txt
2.5,9,16.717,mb_hws_td_20160409.txt
3.0,9,17.765,mb_hws_td_20160409.txt
3.5,9,18.013,mb_hws_td_20160409.txt
4.0,9,18.013,mb_hws_td_20160409.txt
4.5,9,18.013,mb_hws_td_20160409.txt
5.0,9,,mb_hws_td_20160409.txt
5.5,9,,mb_hws_td_20160409.txt
6.0,9,,mb_hws_td_20160409.txt
6.5,9,,mb_hws_td_20160409.txt
7.0,9,,mb_hws_td_20160409.txt
0.0,12,13.291,mb_hws_td_20160409.txt
0.5,12,14.312,mb_hws_td_20160409.txt
1.0,12,14.584,mb_hws_td_20160409.txt
1.5,12,14.886,mb_hws_td_20160409.txt
2.0,12,15.127,mb_hws_td_20160409.txt
2.5,12,15.43,mb_hws_td_20160409.txt
3.0,12,15.888,mb_hws_td_20160409.txt
3.5,12,16.404,mb_hws_td_20160409.txt
4.0,12,16.622,mb_hws_td_20160409.txt
4.5,12,16.622,mb_hws_td_20160409.txt
5.0,12,,mb_hws_td_20160409.txt
5.5,12,,mb_hws_td_20160409.txt
6.0,12,,mb_hws_td_20160409.txt
6.5,12,,mb_hws_td_20160409.txt
7.0,12,,mb_hws_td_20160409.txt
0.0,15,10.473,mb_hws_td_20160409.txt
0.5,15,12.847,mb_hws_td_20160409.txt
1.0,15,13.052,mb_hws_td_20160409.txt
1.5,15,13.112,mb_hws_td_20160409.txt
2.0,15,13.112,mb_hws_td_20160409.txt
2.5,15,13.232,mb_hws_td_20160409.txt
3.0,15,13.618,mb_hws_td_20160409.txt
3.5,15,14.252,mb_hws_td_20160409.txt
4.0,15,14.462,mb_hws_td_20160409.txt
4.5,15,14.462,mb_hws_td_20160409.txt
5.0,15,,mb_hws_td_20160409.txt
5.5,15,,mb_hws_td_20160409.txt
6.0,15,,mb_hws_td_20160409.txt
6.5,15,,mb_hws_td_20160409.txt
7.0,15,,mb_hws_td_20160409.txt
0.0,18,10.027,mb_hws_td_20160409.txt
0.5,18,10.397,mb_hws_td_20160409.txt
1.0,18,10.901,mb_hws_td_20160409.txt
1.5,18,11.194,mb_hws_td_20160409.txt
2.0,18,11.664,mb_hws_td_20160409.txt
2.5,18,11.723,mb_hws_td_20160409.txt
3.0,18,11.841,mb_hws_td_20160409.txt
3.5,18,12.16,mb_hws_td_20160409.txt
4.0,18,12.279,mb_hws_td_20160409.txt
4.5,18,12.279,mb_hws_td_20160409.txt
5.0,18,12.279,mb_hws_td_20160409.txt
5.5,18,12.22,mb_hws_td_20160409.txt
6.0,18,12.22,mb_hws_td_20160409.txt
6.5,18,,mb_hws_td_20160409.txt
7.0,18,,mb_hws_td_20160409.txt
0.0,21,7.234,mb_hws_td_20160409.txt
0.5,21,8.223,mb_hws_td_20160409.txt
1.0,21,8.537,mb_hws_td_20160409.txt
1.5,21,8.851,mb_hws_td_20160409.txt
2.0,21,9.449,mb_hws_td_20160409.txt
2.5,21,9.761,mb_hws_td_20160409.txt
3.0,21,9.831,mb_hws_td_20160409.txt
3.5,21,9.932,mb_hws_td_20160409.txt
4.0,21,10.222,mb_hws_td_20160409.txt
4.5,21,10.666,mb_hws_td_20160409.txt
5.0,21,11.158,mb_hws_td_20160409.txt
5.5,21,11.158,mb_hws_td_20160409.txt
6.0,21,,mb_hws_td_20160409.txt
6.5,21,,mb_hws_td_20160409.txt
7.0,21,,mb_hws_td_20160409.txt
0.0,24,5.863,mb_hws_td_20160409.txt
0.5,24,6.067,mb_hws_td_20160409.txt
1.0,24,6.23,mb_hws_td_20160409.txt
1.5,24,6.335,mb_hws_td_20160409.txt
2.0,24,6.67,mb_hws_td_20160409.txt
2.5,24,7.128,mb_hws_td_20160409.txt
3.0,24,7.665,mb_hws_td_20160409.txt
3.5,24,8.0,mb_hws_td_20160409.txt
4.0,24,8.686,mb_hws_td_20160409.txt
4.5,24,8.984,mb_hws_td_20160409.txt
5.0,24,9.625,mb_hws_td_20160409.txt
5.5,24,9.677,mb_hws_td_20160409.txt
6.0,24,9.694,mb_hws_td_20160409.txt
6.5,24,9.694,mb_hws_td_20160409.txt
7.0,24,,mb_hws_td_20160409.txt
0.0,27,5.77,mb_hws_td_20160409.txt
0.5,27,6.202,mb_hws_td_20160409.txt
1.0,27,6.23,mb_hws_td_20160409.txt
1.5,27,6.374,mb_hws_td_20160409.txt
2.0,27,6.491,mb_hws_td_20160409.txt
2.5,27,6.65,mb_hws_td_20160409.txt
3.0,27,6.857,mb_hws_td_20160409.txt
3.5,27,7.601,mb_hws_td_20160409.txt
4.0,27,8.006,mb_hws_td_20160409.txt
4.5,27,8.211,mb_hws_td_20160409.txt
5.0,27,8.239,mb_hws_td_20160409.txt
5.5,27,8.239,mb_hws_td_20160409.txt
6.0,27,,mb_hws_td_20160409.txt
6.5,27,,mb_hws_td_20160409.txt
7.0,27,,mb_hws_td_20160409.txt
0.0,30,4.551,mb_hws_td_20160409.txt
0.5,30,4.897,mb_hws_td_20160409.txt
1.0,30,6.081,mb_hws_td_20160409.txt
1.5,30,6.437,mb_hws_td_20160409.txt
2.0,30,6.449,mb_hws_td_20160409.txt
2.5,30,6.46,mb_hws_td_20160409.txt
3.0,30,6.376,mb_hws_td_20160409.txt
3.5,30,6.398,mb_hws_td_20160409.txt
4.0,30,6.423,mb_hws_td_20160409.txt
4.5,30,6.423,mb_hws_td_20160409.txt
5.0,30,,mb_hws_td_20160409.txt
5.5,30,,mb_hws_td_20160409.txt
6.0,30,,mb_hws_td_20160409.txt
6.5,30,,mb_hws_td_20160409.txt
7.0,30,,mb_hws_td_20160409.txt
0.0,33,3.11,mb_hws_td_20160409.txt
0.5,33,3.631,mb_hws_td_20160409.txt
1.0,33,3.919,mb_hws_td_20160409.txt
1.5,33,4.047,mb_hws_td_20160409.txt
2.0,33,4.085,mb_hws_td_20160409.txt
2.5,33,4.133,mb_hws_td_20160409.txt
3.0,33,4.19,mb_hws_td_20160409.txt
3.5,33,4.19,mb_hws_td_20160409.txt
4.0,33,,mb_hws_td_20160409.txt
4.5,33,,mb_hws_td_20160409.txt
5.0,33,,mb_hws_td_20160409.txt
5.5,33,,mb_hws_td_20160409.txt
6.0,33,,mb_hws_td_20160409.txt
6.5,33,,mb_hws_td_20160409.txt
7.0,33,,mb_hws_td_20160409.txt
0.0,36,2.22,mb_hws_td_20160409.txt
0.5,36,2.585,mb_hws_td_20160409.txt
1.0,36,2.559,mb_hws_td_20160409.txt
1.5,36,2.647,mb_hws_td_20160409.txt
2.0,36,2.751,mb_hws_td_20160409.txt
2.5,36,2.965,mb_hws_td_20160409.txt
3.0,36,3.075,mb_hws_td_20160409.txt
3.5,36,3.191,mb_hws_td_20160409.txt
4.0,36,3.175,mb_hws_td_20160409.txt
4.5,36,3.175,mb_hws_td_20160409.txt
5.0,36,,mb_hws_td_20160409.txt
5.5,36,,mb_hws_td_20160409.txt
6.0,36,,mb_hws_td_20160409.txt
6.5,36,,mb_hws_td_20160409.txt
7.0,36,,mb_hws_td_20160409.txt
0.0,39,2.631,mb_hws_td_20160409.txt
0.5,39,2.709,mb_hws_td_20160409.txt
1.0,39,2.932,mb_hws_td_20160409.txt
1.5,39,2.953,mb_hws_td_20160409.txt
2.0,39,2.985,mb_hws_td_20160409.txt
2.5,39,3.101,mb_hws_td_20160409.txt
3.0,39,3.127,mb_hws_td_20160409.txt
3.5,39,3.137,mb_hws_td_20160409.txt
4.0,39,3.148,mb_hws_td_20160409.txt
4.5,39,3.148,mb_hws_td_20160409.txt
5.0,39,3.148,mb_hws_td_20160409.txt
5.5,39,,mb_hws_td_20160409.txt
6.0,39,,mb_hws_td_20160409.txt
6.5,39,,mb_hws_td_20160409.txt
7.0,39,,mb_hws_td_20160409.txt
0.0,42,1.649,mb_hws_td_20160409.txt
0.5,42,1.739,mb_hws_td_20160409.txt
1.0,42,1.83,mb_hws_td_20160409.txt
1.5,42,2.184,mb_hws_td_20160409.txt
2.0,42,2.42,mb_hws_td_20160409.txt
2.5,42,2.777,mb_hws_td_20160409.txt
3.0,42,2.944,mb_hws_td_20160409.txt
3.5,42,3.007,mb_hws_td_20160409.txt
4.0,42,3.007,mb_hws_td_20160409.txt
4.5,42,,mb_hws_td_20160409.txt
5.0,42,,mb_hws_td_20160409.txt
5.5,42,,mb_hws_td_20160409.txt
6.0,42,,mb_hws_td_20160409.txt
6.5,42,,mb_hws_td_20160409.txt
7.0,42,,mb_hws_td_20160409.txt
0.0,45,1.694,mb_hws_td_20160409.txt
0.5,45,1.784,mb_hws_td_20160409.txt
1.0,45,1.946,mb_hws_td_20160409.txt
1.5,45,2.128,mb_hws_td_20160409.txt
2.0,45,2.195,mb_hws_td_20160409.txt
2.5,45,2.22,mb_hws_td_20160409.txt
3.0,45,2.266,mb_hws_td_20160409.txt
3.5,45,2.282,mb_hws_td_20160409.txt
4.0,45,2.292,mb_hws_td_20160409.txt
4.5,45,2.327,mb_hws_td_20160409.txt
5.0,45,2.343,mb_hws_td_20160409.txt
5.5,45,2.394,mb_hws_td_20160409.txt
6.0,45,2.394,mb_hws_td_20160409.txt
6.5,45,,mb_hws_td_20160409.txt
7.0,45,,mb_hws_td_20160409.txt
0.0,48,0.812,mb_hws_td_20160409.txt
0.5,48,1.066,mb_hws_td_20160409.txt
1.0,48,1.201,mb_hws_td_20160409.txt
1.5,48,1.348,mb_hws_td_20160409.txt
2.0,48,1.4,mb_hws_td_20160409.txt
2.5,48,1.504,mb_hws_td_20160409.txt
3.0,48,1.623,mb_hws_td_20160409.txt
3.5,48,1.676,mb_hws_td_20160409.txt
4.0,48,1.736,mb_hws_td_20160409.txt
4.5,48,1.781,mb_hws_td_20160409.txt
5.0,48,1.789,mb_hws_td_20160409.txt
5.5,48,1.789,mb_hws_td_20160409.txt
6.0,48,1.789,mb_hws_td_20160409.txt
6.5,48,,mb_hws_td_20160409.txt
7.0,48,,mb_hws_td_20160409.txt
0.0,51,0.785,mb_hws_td_20160409.txt
0.5,51,0.852,mb_hws_td_20160409.txt
1.0,51,0.89,mb_hws_td_20160409.txt
1.5,51,0.976,mb_hws_td_20160409.txt
2.0,51,0.981,mb_hws_td_20160409.txt
2.5,51,1.01,mb_hws_td_20160409.txt
3.0,51,1.089,mb_hws_td_20160409.txt
3.5,51,1.206,mb_hws_td_20160409.txt
