depth_m,distance_km,salinity_pss,source_file
0.0,0,16.416,mb_hws_da_20160409.txt
0.5,0,19.28,mb_hws_da_20160409.txt
1.0,0,19.592,mb_hws_da_20160409.txt
1.5,0,20.03,mb_hws_da_20160409.txt
2.0,0,20.259,mb_hws_da_20160409.txt
2.5,0,20.511,mb_hws_da_20160409.txt
3.0,0,20.7,mb_hws_da_20160409.txt
3.5,0,20.763,mb_hws_da_20160409.txt
4.0,0,20.826,mb_hws_da_20160409.txt
4.5,0,20.889,mb_hws_da_20160409.txt
5.0,0,20.889,mb_hws_da_20160409.txt
5.5,0,20.889,mb_hws_da_20160409.txt
6.0,0,,mb_hws_da_20160409.txt
6.5,0,,mb_hws_da_20160409.txt
7.0,0,,mb_hws_da_20160409.txt
0.0,3,14.825,mb_hws_da_20160409.txt
0.5,3,16.628,mb_hws_da_20160409.txt
1.0,3,17.518,mb_hws_da_20160409.txt
1.5,3,18.223,mb_hws_da_20160409.txt
2.0,3,19.155,mb_hws_da_20160409.txt
2.5,3,19.592,mb_hws_da_20160409.txt
3.0,3,20.134,mb_hws_da_20160409.txt
3.5,3,20.259,mb_hws_da_20160409.txt
4.0,3,20.322,mb_hws_da_20160409.txt
4.5,3,20.322,mb_hws_da_20160409.txt
5.0,3,,mb_hws_da_20160409.txt
5.5,3,,mb_hws_da_20160409.txt
6.0,3,,mb_hws_da_20160409.txt
6.5,3,,mb_hws_da_20160409.txt
7.0,3,,mb_hws_da_20160409.txt
0.0,6,9.044,mb_hws_da_20160409.txt
0.5,6,14.643,mb_hws_da_20160409.txt
1.0,6,15.191,mb_hws_da_20160409.txt
1.5,6,15.252,mb_hws_da_20160409.txt
2.0,6,16.717,mb_hws_da_20160409.txt
2.5,6,17.976,mb_hws_da_20160409.txt
3.0,6,18.223,mb_hws_da_20160409.txt
3.5,6,18.906,mb_hws_da_20160409.txt
4.0,6,19.155,mb_hws_da_20160409.txt
4.5,6,19.155,mb_hws_da_20160409.txt
5.0,6,,mb_hws_da_20160409.txt
5.5,6,,mb_hws_da_20160409.txt
6.0,6,,mb_hws_da_20160409.txt
6.5,6,,mb_hws_da_20160409.txt
7.0,6,,mb_hws_da_20160409.txt
0.0,9,14.583,mb_hws_da_20160409.txt
0.5,9,14.583,mb_hws_da_20160409.txt
1.0,9,14.734,mb_hws_da_20160409.txt
1.5,9,14.795,mb_hws_da_20160409.txt
2.0,9,15.159,mb_hws_da_20160409.txt
2.5,9,15.77,mb_hws_da_20160409.txt
3.0,9,16.288,mb_hws_da_20160409.txt
3.5,9,17.359,mb_hws_da_20160409.txt
4.0,9,17.852,mb_hws_da_20160409.txt
4.5,9,18.038,mb_hws_da_20160409.txt
5.0,9,18.038,mb_hws_da_20160409.txt
5.5,9,,mb_hws_da_20160409.txt
6.0,9,,mb_hws_da_20160409.txt
