depth_m,distance_km,salinity_pss,source_file
0.0,0,13.544,mb_hws_td_20160401.txt
0.5,0,14.208,mb_hws_td_20160401.txt
1.0,0,15.29,mb_hws_td_20160401.txt
1.5,0,17.171,mb_hws_td_20160401.txt
2.0,0,20.251,mb_hws_td_20160401.txt
2.5,0,21.072,mb_hws_td_20160401.txt
3.0,0,21.333,mb_hws_td_20160401.txt
3.5,0,21.418,mb_hws_td_20160401.txt
4.0,0,21.639,mb_hws_td_20160401.txt
4.5,0,21.639,mb_hws_td_20160401.txt
5.0,0,,mb_hws_td_20160401.txt
5.5,0,,mb_hws_td_20160401.txt
6.0,0,,mb_hws_td_20160401.txt
6.5,0,,mb_hws_td_20160401.txt
7.0,0,,mb_hws_td_20160401.txt
0.0,3,14.24,mb_hws_td_20160401.txt
0.5,3,15.197,mb_hws_td_20160401.txt
1.0,3,17.497,mb_hws_td_20160401.txt
1.5,3,18.043,mb_hws_td_20160401.txt
2.0,3,19.068,mb_hws_td_20160401.txt
2.5,3,19.325,mb_hws_td_20160401.txt
3.0,3,19.39,mb_hws_td_20160401.txt
3.5,3,19.454,mb_hws_td_20160401.txt
4.0,3,19.454,mb_hws_td_20160401.txt
4.5,3,19.454,mb_hws_td_20160401.txt
5.0,3,,mb_hws_td_20160401.txt
5.5,3,,mb_hws_td_20160401.txt
6.0,3,,mb_hws_td_20160401.txt
6.5,3,,mb_hws_td_20160401.txt
7.0,3,,mb_hws_td_20160401.txt
0.0,6,14.147,mb_hws_td_20160401.txt
0.5,6,14.238,mb_hws_td_20160401.txt
1.0,6,14.668,mb_hws_td_20160401.txt
1.5,6,16.17,mb_hws_td_20160401.txt
2.0,6,16.582,mb_hws_td_20160401.txt
2.5,6,17.025,mb_hws_td_20160401.txt
3.0,6,18.722,mb_hws_td_20160401.txt
3.5,6,18.851,mb_hws_td_20160401.txt
4.0,6,19.044,mb_hws_td_20160401.txt
4.5,6,19.173,mb_hws_td_20160401.txt
5.0,6,19.173,mb_hws_td_20160401.txt
5.5,6,19.173,mb_hws_td_20160401.txt
6.0,6,19.108,mb_hws_td_20160401.txt
6.5,6,19.108,mb_hws_td_20160401.txt
7.0,6,,mb_hws_td_20160401.txt
0.0,9,0.959,mb_hws_td_20160401.txt
0.5,9,13.562,mb_hws_td_20160401.txt
1.0,9,13.501,mb_hws_td_20160401.txt
1.5,9,14.356,mb_hws_td_20160401.txt
2.0,9,14.917,mb_hws_td_20160401.txt
2.5,9,16.393,mb_hws_td_20160401.txt
3.0,9,16.645,mb_hws_td_20160401.txt
3.5,9,16.772,mb_hws_td_20160401.txt
4.0,9,16.899,mb_hws_td_20160401.txt
4.5,9,16.899,mb_hws_td_20160401.txt
5.0,9,,mb_hws_td_20160401.txt
5.5,9,,mb_hws_td_20160401.txt
6.0,9,,mb_hws_td_20160401.txt
6.5,9,,mb_hws_td_20160401.txt
7.0,9,,mb_hws_td_20160401.txt
0.0,12,11.103,mb_hws_td_20160401.txt
0.5,12,11.209,mb_hws_td_20160401.txt
1.0,12,11.399,mb_hws_td_20160401.txt
1.5,12,12.237,mb_hws_td_20160401.txt
2.0,12,12.786,mb_hws_td_20160401.txt
2.5,12,13.585,mb_hws_td_20160401.txt
3.0,12,13.922,mb_hws_td_20160401.txt
3.5,12,14.294,mb_hws_td_20160401.txt
4.0,12,14.792,mb_hws_td_20160401.txt
4.5,12,14.792,mb_hws_td_20160401.txt
5.0,12,14.792,mb_hws_td_20160401.txt
5.5,12,,mb_hws_td_20160401.txt
6.0,12,,mb_hws_td_20160401.txt
6.5,12,,mb_hws_td_20160401.txt
7.0,12,,mb_hws_td_20160401.txt
0.0,15,9.715,mb_hws_td_20160401.txt
0.5,15,9.694,mb_hws_td_20160401.txt
1.0,15,9.823,mb_hws_td_20160401.txt
1.5,15,11.302,mb_hws_td_20160401.txt
2.0,15,11.544,mb_hws_td_20160401.txt
2.5,15,11.847,mb_hws_td_20160401.txt
3.0,15,12.786,mb_hws_td_20160401.txt
3.5,15,12.848,mb_hws_td_20160401.txt
4.0,15,12.786,mb_hws_td_20160401.txt
4.5,15,12.786,mb_hws_td_20160401.txt
5.0,15,,mb_hws_td_20160401.txt
5.5,15,,mb_hws_td_20160401.txt
6.0,15,,mb_hws_td_20160401.txt
6.5,15,,mb_hws_td_20160401.txt
7.0,15,,mb_hws_td_20160401.txt
0.0,18,6.205,mb_hws_td_20160401.txt
0.5,18,6.834,mb_hws_td_20160401.txt
1.0,18,7.796,mb_hws_td_20160401.txt
1.5,18,8.784,mb_hws_td_20160401.txt
2.0,18,9.036,mb_hws_td_20160401.txt
2.5,18,10.358,mb_hws_td_20160401.txt
3.0,18,10.537,mb_hws_td_20160401.txt
3.5,18,10.537,mb_hws_td_20160401.txt
4.0,18,10.656,mb_hws_td_20160401.txt
4.5,18,10.716,mb_hws_td_20160401.txt
5.0,18,10.716,mb_hws_td_20160401.txt
5.5,18,10.716,mb_hws_td_20160401.txt
6.0,18,10.656,mb_hws_td_20160401.txt
6.5,18,10.656,mb_hws_td_20160401.txt
7.0,18,,mb_hws_td_20160401.txt
0.0,21,5.099,mb_hws_td_20160401.txt
0.5,21,5.329,mb_hws_td_20160401.txt
1.0,21,5.728,mb_hws_td_20160401.txt
1.5,21,6.075,mb_hws_td_20160401.txt
2.0,21,6.948,mb_hws_td_20160401.txt
2.5,21,8.143,mb_hws_td_20160401.txt
3.0,21,8.568,mb_hws_td_20160401.txt
3.5,21,9.212,mb_hws_td_20160401.txt
4.0,21,9.389,mb_hws_td_20160401.txt
4.5,21,9.448,mb_hws_td_20160401.txt
5.0,21,9.507,mb_hws_td_20160401.txt
5.5,21,9.625,mb_hws_td_20160401.txt
6.0,21,9.625,mb_hws_td_20160401.txt
6.5,21,,mb_hws_td_20160401.txt
7.0,21,,mb_hws_td_20160401.txt
